"","type"
"GSM359972","Normal"
"GSM359973","Normal"
"GSM359974","Normal"
"GSM359975","Normal"
"GSM359976","Normal"
"GSM359977","Normal"
"GSM359978","Normal"
"GSM359979","Normal"
"GSM359981","Normal"
"GSM359982","Normal"
"GSM359983","Normal"
"GSM359984","Ovarian cancer"
"GSM360039","Ovarian cancer"
"GSM360040","Ovarian cancer"
"GSM360041","Ovarian cancer"
"GSM360042","Ovarian cancer"
"GSM360043","Ovarian cancer"
"GSM360044","Ovarian cancer"
"GSM360045","Ovarian cancer"
"GSM360046","Ovarian cancer"
"GSM360047","Ovarian cancer"
"GSM360048","Ovarian cancer"
"GSM360049","Ovarian cancer"